Category,Tên món,Nguyên liệu,Nguồn gốc / Xuất xứ,Vị
Signature,Coco Bơ,"Sữa dừa, bơ xay",unknown,"Béo ngậy, thơm, ngọt"
Signature,Three Kick,"Dưa hấu, cà chua, chanh vàng",unknown,"Tươi mát, mọng nước "
Signature,Ginger Singer,"Táo xanh, gừng",Táo xanh Granny Smith Mỹ,"Chua thanh, cay ấm nhẹ"
Signature,Sunrise,"Xoài, trà, mứt xoài",unknown,"Chua thanh, hậu ngọt, béo nhẹ, thơm"
Signature,Dưa Fame,"Dứa GlobalGAP, dưa leo","Dứa Na Queen tại Quỳnh Lưu, Nghệ An","Thơm mạnh , ngọt , mát xanh"
Espresso,Espresso,Coffee Brazilian,Brazil,"Đậm đà, hậu vị rõ"
Espresso,Americano,"Water, coffee Brazilian",Brazil,"Thanh nhẹ,hậu vị ngọt."
Espresso,Latte,"Sữa tươi, coffee Brazilian",Brazil,"Ngọt nhẹ nhàng, bùi, đắng nhẹ"
Espresso,Capuchino,"Sữa tươi, coffee Brazilian",Brazil,"Đậm espresso,béo sữa"
Espresso,Salted Caramel Latte,"Sữa tươi, coffee Brazilian, kem muối, caramel",Brazil,Mặn ngọt nhẹ nhàng. Một chút béo
Espresso,Mocha,"Sữa tươi, coffee Brazilian, cacao",Brazil,"Cacao ngọt nhẹ, hòa cùng vị cà phê"
Tea,Hibicus Tea,"Trà Atiso, mứt dâu, chanh",unknown,"Không quá ngọt, thơm , rõ vị"
Tea,Trà Dâu Tằm,"Trà lài, dâu tằm, chanh",unknown,"Ngọt thơm , chua nhẹ , thanh mát, cảm giác giải nhiệt "
Tea,Matcha Muối,"Sữa tươi, matcha, kem muối",IMO Matcha,"Thơm, béo, mặn ngọt nhẹ"
Smoothie,Sinh Tố Xoài,"Xoài, sữa tươi, đường, chanh",unknown,"chua nhẹ , mát , béo , ngọt"
Smoothie,Sinh Tố Bơ,"Bơ, sữa tươi, đường",unknown,"béo nhẹ , ngọt "
Smoothie,Sinh Tố Dâu,"Dâu, sữa tươi, đường",unknown,"chua nhẹ , ngọt "
Smoothie,Sinh Tố Dâu Chuối,"Dâu, chuối, đường, đá",unknown,"thơm nhẹ mùi chuối , ngọt thanh , chua nhẹ "
Smoothie,Daugurt Kefir,"Sữa chua Kefir, mứt dâu, sữa tươi",unknown,"hơi chua , ngọt và thơm mùi dâu "
Juice,Nước Ép Cam,Cam VietGap,"Cam Trần Đức Vững tại Bắc Tân Uyên, Bình Dương","Ngọt tự nhiên, vị chua thoang thoảng"
Juice,Nước Ép Thơm,Thơm GlobalGAP,"Dứa Na Queen tại Quỳnh Lưu, Nghệ An","Ngọt tự nhiên dịu thanh, không rát lưỡi"
Juice,Nước Ép Chanh Vàng,"Chanh vàng, đường",unknown,"Mặn nhẹ, ngọt và chua thanh của chanh vàng"
Juice,Nước Ép Táo Xanh,"Táo xanh Granny Smith, đường",Táo xanh Granny Smith Mỹ,"Chua thanh, ngọt nhẹ"
Juice,Nước Ép Dưa Hấu,"Dưa hấu, đường",unknown,"Ngọt mát thanh nhẹ, giải khát sảng khoái"
Cold Brew,Cold Brew,Coffee Brazilian,Brazil,"Êm mượt, hậu vị đắng"
Cold Brew,Cold Brew Cam,"Coffee Brazilian, cam ép",Brazil,"Ngọt tự nhiên, đắng nhẹ"
Cold Brew,Cold Brew Táo,"Coffee Brazilian, táo xanh Granny Smith",Brazil,"Chua thanh, đắng nhẹ"
Cold Brew,Cold Brew Dâu Tằm,"Coffee Brazilian, mứt dâu tằm",Brazil,"Ngọt thơm, đắng nhẹ"
Vietnamese Coffee,Cà Phê Đen,Robusta Gia Lai,Gia Lai,"Ngọt, đậm cà phê"
Vietnamese Coffee,Cà Phê Sữa,"Robusta Gia Lai, sữa đặc",Gia Lai,"Đậm cà phê, béo ngọt hài hòa"
Vietnamese Coffee,Đen Đá Sài Gòn,"Robusta Gia Lai, đường, shaker",Gia Lai,"Ngọt, đậm cà phê, mát lạnh"
Vietnamese Coffee,Sữa Đá Sài Gòn,"Robusta Gia Lai, sữa đặc, shaker",Gia Lai,"Đậm cà phê, béo ngọt hài hòa, mát lạnh"
Vietnamese Coffee,Bạc Xỉu,"Robusta Gia Lai, sữa tươi, sữa đặc",Gia Lai,"Ngọt béo dịu nhẹ, thơm sữa, vị cà phê thoảng nhẹ"
,,,,
